"genename" "BE01" "BE11" "BE25" "BE27" "BE29" "BE31"
"ST7" 338.049546395254 512.694185265049 454.007429414687 366.961412998114 293.916309920376 646.98269671585
"CDC27" 968.082778349011 1036.7960790845 1508.83646544918 4736.00152961849 1244.70574981911 886.265609651934
"SLC4A1" 14.8655083368317 2.90065972639848 0.570964812736682 4.60905135041194 21.2018400075456 26.8144881933385
"HCCS" 606.856866546212 254.235559246504 513.923979051946 567.902294122463 517.514225163424 401.114189993923
"DVL2" 330.955960878101 353.971008928211 395.372528624812 462.452843187137 398.627068325838 408.752296454113
"PRSS22" 393.419726135967 477.746350648772 281.80286935399 395.868949381887 242.265037541906 446.384077825353
"UPF1" 2880.32411793798 2376.49111000727 2025.88578219219 2130.87333781443 2304.07190438985 2672.55862755752
"SKAP2" 521.993635650596 514.713191741027 621.5831227584 529.950477964716 456.711701061873 335.089334263811
"SLC25A5" 5034.8829951134 3394.64252381809 3540.15392898831 3255.54466726361 3719.64088693646 5656.32604480208
"MCUB" 398.499039063224 156.964343821103 207.882232777064 300.138933622839 340.023275156714 307.069915947528
"POLR2J" 555.558298472571 408.421738889833 328.554315756969 366.478970826828 468.374736929891 675.531352162652
"DHX33" 508.543206836269 476.242235492751 605.028757208269 694.216720062499 456.756039106762 405.736651909123
"MEOX1" 171.88505012486 7.93649992210084 21.3762124107561 86.5115680010201 54.7604046688486 25.0265947200231
"THSD7A" 17.5769405943697 62.0749987488857 74.5680333245167 43.1956726346919 26.9744866048695 19.8950820631775
"LIG3" 411.400323409178 420.597330671956 341.954528237086 370.250354446065 302.623924896176 207.99002077821
"RPAP3" 217.42716944836 154.024016524777 188.560724384609 291.648556321932 244.987750522895 340.722447249286
"ACSM3" 20.7046390143426 81.4717584043079 34.7374133170361 14.9953822001965 14.5460175736525 73.2028888082728
"REXO5" 18.4897144009712 17.1551766936353 23.5113821357331 16.3825435761019 25.5552228669731 18.2802814790851
"CIAPIN1" 652.167663851926 568.289426093834 395.267686298406 324.820041044608 563.995384750945 704.442556997448
"ATOSB" 1004.14296224428 435.608414428682 520.817608486484 705.399853037813 789.33628798832 816.693683874323
